DOLLAR TREE,DLTR,86,NASDAQ,RETAILING
WHIRLPOOL,WHR,117,NYSE,INDUSTRIALS
SOUTHWEST TRANSPORTATIONLINES,LUV,53,NYSE,TRANSPORTATION
EMERSON ELECTRIC,EMR,70,NYSE,INDUSTRIALS
STAPLES,SPLS,10,NYSE,RETAILING
PLAINS GP HOLDINGS,PAGP,23,NYSE,ENERGY
PENSKE AUTOMOTIVE GROUP,PAG,45,NYSE,RETAILING
UNION PACIFIC,UNP,152,NYSE,TRANSPORTATION
DANAHER,DHR,104,NYSE,TECH
SOUTHERN,SO,48,NYSE,ENERGY
MANPOWERGROUP,MAN,82,NYSE,BUSINESS SERVICES
BRISTOL-MYERS SQUIBB,BMY,53,NYSE,HEALTH
ALTRIA GROUP,MO,65,NYSE,FOOD BEVERAGE
FLUOR,FLR,49,NYSE,ENGINEERING & CONSTRUCTION
KOHL'S,KSS,80,NYSE,RETAILING
LEAR,LEA,140,NYSE,MOTOR VEHICLES & PARTS
JABIL CIRCUIT,JBL,26,NYSE,TECH
HARTFORD FINANCIAL SERVICES GROUP,HIG,47,NYSE,FINANCIALS
THERMO FISHER SCIENTIFIC,TMO,245,NYSE,TECH
KIMBERLY-CLARK,KMB,108,NYSE,HOUSEHOLD PRODUCTS
MOLINA HEALTHCARE,MOH,137,NYSE,HEALTH
PG&E CORP.,PCG,48,NYSE,ENERGY
SUPERVALU,SVU,0,None,FOOD & DRUG STORES
CUMMINS,CMI,147,NYSE,INDUSTRIALS
CENTURYLINK,CTL,22,NYSE,TELECOM
AECOM,ACM,34,NYSE,ENGINEERING & CONSTRUCTION
XEROX,XRX,29,NYSE,TECH
MARRIOTT INTERNATIONAL,MAR,116,NASDAQ,"HOTELS, RESTAURANTS & LEISURE"
PACCAR,PCAR,60,NASDAQ,INDUSTRIALS
GENERAL MILLS,GIS,44,NYSE,FOOD BEVERAGE
PNC FINANCIAL SERVICES GROUP,PNC,133,NYSE,FINANCIALS
AMERICAN ELECTRIC POWER,AEP,75,NYSE,ENERGY
ICAHN ENTERPRISES,IEP,74,NYSE,FINANCIALS
NUCOR,NUE,64,NYSE,MATERIALS
NEXTERA ENERGY,NEE,173,NYSE,ENERGY
PERFORMANCE FOOD GROUP,PFGC,32,NYSE,WHOLESALERS
PBF ENERGY,PBF,43,NYSE,ENERGY
HALLIBURTON,HAL,36,NYSE,ENERGY
CARMAX,KMX,68,NYSE,RETAILING
FREEPORT-MCMORAN,FCX,12,NYSE,ENERGY
WHOLE FOODS MARKET,WFM,0,None,FOOD & DRUG STORES
BANK OF NEW YORK MELLON CORP.,BK,49,NYSE,FINANCIALS
GAP,GPS,27,NYSE,RETAILING
OMNICOM GROUP,OMC,76,NYSE,BUSINESS SERVICES
GENUINE PARTS,GPC,100,NYSE,WHOLESALERS
DAVITA HEALTHCARE PARTNERS,DVA,76,NYSE,HEALTH
COLGATE-PALMOLIVE,CL,61,NYSE,HOUSEHOLD PRODUCTS
PPG INDUSTRIES,PPG,110,NYSE,CHEMICALS
GOODYEAR TIRE & RUBBER,GT,22,NASDAQ,MOTOR VEHICLES & PARTS
SYNCHRONY FINANCIAL,SYF,27,NYSE,FINANCIALS
DISH NETWORK,DISH,32,NASDAQ,TELECOM
VISA,V,145,NYSE,BUSINESS SERVICES
NORDSTROM,JWN,66,NYSE,RETAILING
INTL FCSTONE,INTL,49,NASDAQ,FINANCIALS
